Title,Authors,Publish Date,Summary,Category
CNN Business,,N/A,"How relevant is this ad to you?
Video player was slow to load content Video content never loaded Ad froze or did not finish loading Video content did not start after ad Audio on ad was too loud Other issues",world
Travel News,,N/A,"How relevant is this ad to you?
Video player was slow to load content Video content never loaded Ad froze or did not finish loading Video content did not start after ad Audio on ad was too loud Other issues",world
All There Is with Anderson Cooper,,N/A,"Sharing Our Grief All There Is with Anderson Cooper This episode, the season finale, is a reminder that none of us is alone in our grief.
“This is grief,” she tells Anderson, “it just looks beautiful.” Jan 24, 2024 28 minsNicole Chung: Carrying Memories Alone All There Is with Anderson Cooper When best-selling author Nicole Chung’s adoptive parents died, she felt all alone.
Dec 20, 2023 36 minsThe Greatest Loss All There Is with Anderson Cooper Katie Talman, was grieving an unimaginable loss when she left a message for Anderson Cooper, one of more than a thousand voicemails he received from podcast listeners.
Dec 6, 2023 38 minsFacing Our Grief All There Is with Anderson Cooper Grief doesn’t just go away, no matter how hard we may want it to.
These are the questions Anderson Cooper struggles to answer after the first season of All There Is ends.",world
Pope Francis arrives in the world’s most Catholic nation outside of Vatican City,"Christopher Lamb, Helen Regan, Kathleen Magramo",09/09/2024,"Dili, East Timor CNN —Pope Francis arrived in the tiny Southeast Asian nation of East Timor on Monday for the penultimate stop on a marathon trip through Asia and the South Pacific for the 87-year-old leader.
He is the second pope to visit East Timor, after Pope John Paul II in 1989, but it’s the first papal visit for the country since it gained independence in 2002.
Four hundred years of ensuing Portuguese colonial rule led to the widespread spread of Catholicism in East Timor and other cultural differences from Muslim-majority Indonesia.
East Timor is also on track to become the 11th member of the Southeast Asian bloc ASEAN, which could happen next year.
An Australian-led international peacekeeping mission ultimately intervened and East Timor officially won independence in 2002.",world
Harris prepares for the showdown she’s long sought with Trump as he takes more informal approach,"Eric Bradner, Jeff Zeleny, Alayna Treene, Arit John",09/08/2024,"Trump’s campaign and his allies have accused Harris of avoiding policy particulars.
“Vice President Harris, a former prosecutor, will be fundamentally disadvantaged by this format, which will serve to shield Donald Trump from direct exchanges with the Vice President.
Trump senior adviser Jason Miller has been handling the meetings, which have included sessions with former Trump administration official Stephen Miller, Trump campaign policy adviser Vincent Haley, and former Democratic Rep. Tulsi Gabbard, among others.
As with his June 27 debate with Biden, Trump’s advisers and allies have been encouraging him to appear more restrained while onstage.
She has been working with Trump to help him better understand Harris’ debate style.",world
Haiku Stairs: 14 people arrested for illegal hiking in Hawaii,Lilit Marcus,09/09/2024,"CNN —Hawaii’s most controversial nature spot has once again become a center of concern, with 14 people recently arrested for accessing the Haiku Stairs on the island of Oahu according to officials.
Eight of the 14 were arrested on September 3, although it’s not clear if they were hiking together.
The Haiku Stairs, sometimes called the “stairway to heaven,” were closed to the public in 1987.
In 2021, the Honolulu City Council voted to remove the Haiku Stairs.
A local group called Friends of the Haiku Stairs is pushing back against the stairs’ removal, arguing that the $2.5 million process is too expensive.",world
"Typhoon Yagi kills dozens in Vietnam, China, Philippines",Story Reuters,09/08/2024,"Reuters —Typhoon Yagi, Asia’s most powerful storm this year, was downgraded to a tropical depression on Sunday, after wreaking havoc in northern Vietnam, China’s Hainan and the Philippines, claiming dozens of lives, according to preliminary reports.
On Saturday, Yagi disrupted power supplies and telecommunications in Vietnam’s capital, Hanoi, causing extensive flooding, felling thousands of trees and damaging homes.
Yagi has claimed the lives of four people on the southern Chinese island of Hainan, according to the latest update from local authorities.
A man checks his damaged boat after Super Typhoon Yagi hit Ha Long bay in Quang Ninh province, Vietnam, on Sunday.
Hanoi’s Noi Bai international airport, the busiest in northern Vietnam, reopened on Sunday after closing on Saturday morning.",world
This photographer has spent decades covering war. But she doesn’t focus on the front lines,,N/A,"A young girl stares through a fogged over window and into a restaurant in Kabul, Afghanistan.
A young girl named Mohboba stands next to a bullet-ridden wall.
It was the first European war since World War II, and she knew that is where she needed to be next.
… And then an hour later, they'd be showing up, covering the windows with particle board.”One of her images is of a young girl juxtaposed against a mountain of rusted, destroyed cars.
The girl, Bronstein said, was there with her family, who had recently returned to Kyiv after initially fleeing at the start of the war.",world
The controversial plan to regreen a desert,Laura Paddison,09/08/2024,"The Dutch engineer wants to transform a huge stretch of inhospitable desert into green, fertile land teeming with wildlife.
“The only holistic way out of this situation is with large-scale ecological regeneration”So-called desert regreening projects are not new, and this is one of a number around the world seeking to transform arid landscapes.
Costfoto/NurPhoto/Getty ImagesFor van der Hoeven, it was further proof his plan could work.
“The scale reaches a level that helps prove that restoration can be done on a planetary scale.”It would add to other huge desert regreening projects also underway.
The project was scheduled to kick off this December, but conflict has slowed everything down, van der Hoeven said.",world
"World No. 1 Jannik Sinner beats Taylor Fritz to win US Open, extending American men’s tennis grand slam singles drought","Jill Martin, Andy Scholes",09/08/2024,"1 Jannik Sinner has won his second grand slam singles title, beating American Taylor Fritz to win the US Open 6-3, 6-4, 7-5 at Arthur Ashe Stadium on Sunday.
12, was bidding to be the first American man to win a grand slam singles title in 21 years.
Andy Roddick, who was in attendance Sunday, is the last American man to do it when he won the 2003 US Open.
Roddick had been the last American man to reach the US Open singles final, losing to Federer in 2006.
But I’m going to keep working, and hopefully I’ll get it the next time.”Taylor Fritz is the first American man since 2009 to compete in a grand slam singles final.",world
